number,date,title,status,files
1.,25.04.2025,"Қазақстан Республикасының кейбір заңнамалық актілеріне денсаулық сақтау саласындағы нормалардың артық (шамадан тыс) заңнамалық регламенттелуін болғызбау мәселелері бойынша өзгерістер енгізу туралы // Қазақстан Республикасының кейбір заңнамалық актілеріне денсаулық сақтау, ойын бизнесі және артық заңнамалық регламенттеуді болғызбау мәселелері бойынша өзгерістер мен толықтырулар енгізу туралы",Президент қол қойды,%D0%97%D0%B0%D2%A3_%D0%B6%D0%BE%D0%B1%D0%B0%D1%81%D1%8B.docx; %D0%A1%D0%B0%D0%BB%D1%8B%D1%81%D1%82%D1%8B%D1%80%D0%BC%D0%B0_%D0%BA%D0%B5%D1%81%D1%82%D0%B5.docx; %D0%B7%D0%B0%D0%BA%D0%BE%D0%BD_%D0%BA%D0%B0%D0%B7.pdf
2.,21.04.2025,Түркітілдес мемлекеттердің ынтымақтастық кеңесін құру туралы Нахчыван келісіміне өзгерістер енгізу туралы хаттаманы,Мәжілістің қарауында,%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD%D0%BE%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82_%D0%BA%D0%B0%D0%B7.docx
3.,16.04.2025,Қазақстан Республикасының кейбір заңнамалық актілеріне аумақтық қорғаныс мәселелері бойынша өзгерістер мен толықтырулар енгізу туралы,"Қабылданып, Сенатқа жіберілді",%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD_%D0%BA%D0%B0%D0%B7.pdf
4.,16.04.2025,Қазақстан Республикасы мен Кипр Республикасы арасындағы сотталған адамдарды беру туралы келісімді ратификациялау туралы,Президент қол қойды,%D0%97%D0%B0%D2%A3_%D0%B6%D0%BE%D0%B1%D0%B0%D1%81%D1%8B.docx; %D0%B7%D0%B0%D0%BA%D0%BE%D0%BD_%D0%BA%D0%B0%D0%B7.pdf; 184_%D0%BA.pdf
5.,16.04.2025,Қазақстан Республикасының аумақтық қорғанысы туралы,"Қабылданып, Сенатқа жіберілді",%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD_%D0%BA%D0%B0%D0%B7.pdf
6.,15.04.2025,"Қазақстан Республикасының кейбір заңнамалық актілеріне дене шынықтыру және спорт мәселелері бойынша өзгерістер мен толықтырулар енгізу, сондай-ақ нормалардың артық (шамадан тыс) заңнамалық регламенттелуін болдырмау туралы // Қазақстан Республикасының кейбір заңнамалық актілеріне дене шынықтыру және спорт, сондай-ақ артық заңнамалық регламенттеуді болғызбау мәселелері бойынша өзгерістер мен толықтырулар енгізу туралы",Президент қол қойды,%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82_%D0%97%D0%B0%D0%BA%D0%BE%D0%BD%D0%B0_55_9eIPDUW.docx; %D0%A1%D1%80%D0%B0%D0%B2%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D1%82%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0_55_W33mDmR.docx; %D0%B7%D0%B0%D0%BA%D0%BE%D0%BD_%D0%BA%D0%B0%D0%B7.pdf; 183.pdf
7.,14.04.2025,Қылмыстық жолмен алынған кірістерді заңдастыруға және терроризмді қаржыландыруға қарсы іс-қимыл жөніндегі Еуразиялық топ туралы келісімге және Қылмыстық жолмен алынған кірістерді заңдастыруға және терроризмді қаржыландыруға қарсы іс-қимыл жөніндегі Еуразиялық топтың бюджетін қалыптастыру және атқару тәртібі туралы ережеге өзгерістер енгізу туралы хаттаманы ратификациялау туралы,Президент қол қойды,%D0%97%D0%B0%D2%A3_%D0%B6%D0%BE%D0%B1%D0%B0%D1%81%D1%8B.docx; %D0%97%D0%B0%D0%BA%D0%BE%D0%BD_%D0%BA%D0%B0%D0%B7.pdf; 182_%D0%BA.pdf
8.,09.04.2025,"Қазақстан Республикасының кейбір заңнамалық актілеріне қаржы нарығын дамыту және қаржы қызметтерін тұтынушылардың құқықтарын қорғау мәселелері бойынша өзгерістер мен толықтырулар енгізу туралы // Қазақстан Республикасының кейбір заңнамалық актілеріне қаржы нарығын дамыту, қаржылық көрсетілетін қызметтерді тұтынушылардың құқықтарын қорғау, байланыс және артық заңнамалық регламенттеуді болғызбау мәселелері бойынша өзгерістер мен толықтырулар енгізу туралы","Қабылданып, Сенатқа жіберілді",%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82_%D0%97%D0%B0%D0%BA%D0%BE%D0%BD%D0%B0_50_Gw9KjY1.docx; %D0%A1%D1%80%D0%B0%D0%B2%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D1%82%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0_50_N29KKaO.docx
9.,08.04.2025,Қазақстан Республикасының кейбір заңнамалық актілеріне ғылымды қажетсінетін аумақтарды дамыту мәселелері бойынша өзгерістер мен толықтырулар енгізу туралы(депутаттар бастамашылық жасаған),Мәжілістің қарауында,%D0%BA%D0%B0%D0%B7.docx
10.,04.04.2025,Құқық бұзушылық профилактикасы туралы,Мәжілістің қарауында,%D0%BA%D0%B0%D0%B7.docx
11.,04.04.2025,Қазақстан Республикасының кейбір заңнамалық актілеріне құқық бұзушылық профилактикасы мәселелері бойынша өзгерістер енгізу туралы,Мәжілістің қарауында,%D0%BA%D0%B0%D0%B7.docx
12.,04.04.2025,Қазақстан Республикасының Әкімшілік құқық бұзушылық туралы кодексіне құқық бұзушылық профилактикасы мәселелері бойынша өзгеріс пен толықтырулар енгізу туралы,Мәжілістің қарауында,%D0%BA%D0%B0%D0%B7_2.docx
